ID,,Geography,,,Districts,,,MyCampaign,,DVC Universe,,Expected Vote,,Turf Assignment,
VAN Precinct ID,DNC Precinct ID,State,County,Precinct Name,CD,SD,HD,Historic Vols,Total MyC,Mid Support DVC,High Support DVC,Exp Vote,Exp Dem,Region,Organizer
347380,833306,GA,Appling,01b,1,19,157,1,4,40,47,842.9896,106.6790832,,
347381,833350,GA,Appling,01c,1,19,157,,1,32,62,641.4179,80.84328319,,
347383,833452,GA,Appling,2,1,19,157,5,31,280,634,1085.7883,544.2248909,,
347386,833541,GA,Appling,03c,1,19,157,1,4,99,179,989.0376,198.9424146,,
347388,833531,GA,Appling,04b,1,19,178,,,14,15,627.238,48.24524083,,
347390,833328,GA,Appling,04d,1,19,178,,5,45,50,908.1147,105.4085133,,
347391,833395,GA,Appling,05a,1,19,157,,2,48,75,656.0993,100.6230732,,
347392,626489,GA,Appling,05b,1,19,178,,,35,42,593.3732,74.68515397,,
1820436,993735,GA,Appling,3a1,1,19,157,,,7,13,536.7342,46.72394783,,
347395,682704,GA,Atkinson,1,8,8,176,,2,94,97,962.5663,146.3549454,,
347396,657026,GA,Atkinson,2,8,8,176,1,1,23,27,409.2061,49.42035648,,
347397,717435,GA,Atkinson,3,8,8,176,,3,143,175,677.336,197.9257043,,
347398,606262,GA,Atkinson,4,8,8,176,1,8,120,207,335.0132,165.5413925,,
347399,630814,GA,Bacon,Dougl,1,19,178,1,11,296,325,3877.4332,509.5550891,,
347404,663545,GA,Baker,A,2,12,154,,4,62,146,287.9877,135.7641707,,
347405,628651,GA,Baker,E,2,12,154,,,56,68,233.6946,76.77073363,,
347406,654844,GA,Baker,H,2,12,154,,4,59,129,246.9571,134.5724967,,
347407,614068,GA,Baker,M,2,12,154,,2,55,63,263.5262,83.08626295,,
347408,642976,GA,Baker,N,2,12,154,,2,62,93,204.1551,88.2286434,,
347409,680366,GA,Baldwin,1714,8,25,149,4,10,87,246,569.077,235.9240821,,
347410,616257,GA,Baldwin,318,8,25,149,5,28,335,546,2461.9611,846.1311247,,
347411,654879,GA,Baldwin,319,8,25,149,2,14,177,465,1214.1395,553.4376478,,
347412,650533,GA,Baldwin,321e,8,25,149,1,5,93,500,467.9051,345.4616422,,
347413,656996,GA,Baldwin,321w,8,25,149,5,37,246,1288,1441.2958,1028.893447,,
