van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
297094,Alexandria (City),103 - Lyles Crouch School,R01 - Inner Nova,R01A - Alexandria,,5,4035,3065,,
297100,Alexandria (City),109 - Fire Department Headquarters,R01 - Inner Nova,R01A - Alexandria,,5,2787,2144,,
297095,Alexandria (City),104 - Durant Center,R01 - Inner Nova,R01A - Alexandria,,5,3346,2652,,
297093,Alexandria (City),102 - City Hall,R01 - Inner Nova,R01A - Alexandria,,5,3194,2436,,
297101,Alexandria (City),201 - Naomi L. Brooks School,R01 - Inner Nova,R01A - Alexandria,,5,2674,2174,,
1848143,Alexandria (City),110 - Charles Houston Center,R01 - Inner Nova,R01A - Alexandria,,5,4984,3843,,
1936188,Alexandria (City),111 - Potomac Yard,R01 - Inner Nova,R01A - Alexandria,,5,2275,1699,,
297096,Alexandria (City),105 - Lee Center,R01 - Inner Nova,R01A - Alexandria,,5,3107,2332,,
297099,Alexandria (City),108 - George Washington Middle Sch,R01 - Inner Nova,R01A - Alexandria,,5,4502,3765,,
297092,Alexandria (City),101 - Old Town North,R01 - Inner Nova,R01A - Alexandria,,5,3914,2996,,
297105,Alexandria (City),205 - Douglas MacArthur School,R01 - Inner Nova,R01A - Alexandria,,5,4252,3324,,
2257716,Arlington,129 - Precinct 129,R01 - Inner Nova,R01B - Arlington,,1,3034,2561,,
2257724,Arlington,139 - Precinct 139,R01 - Inner Nova,R01B - Arlington,,1,1862,1551,,
2257764,Arlington,104 - Precinct 104,R01 - Inner Nova,R01B - Arlington,,1,4083,3340,,
2257715,Arlington,138 - Precinct 138,R01 - Inner Nova,R01B - Arlington,,"003, 002",3475,2830,,
2257679,Arlington,119 - Precinct 119,R01 - Inner Nova,R01B - Arlington,,2,5685,4326,,
2257730,Arlington,118 - Precinct 118,R01 - Inner Nova,R01B - Arlington,,2,6795,5375,,
2257747,Arlington,146 - Precinct 146,R01 - Inner Nova,R01B - Arlington,,1,4755,3676,,
