van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
1071015,314 - Legacy,Loudoun,R03 - Loudoun,R03G - South Riding,026,20148,3226,1890
1569552,602 - Lake,Caroline,R05 - Fredericksburg,R05C - HD 66,066,"23015, 22546",1787,597
1569568,428 - Pinewood,Fairfax,R04 - Prince William,R04C - Groveton,016,"22306, 22309",3792,3069
1569574,909 - Oak Hill,Fairfax,R02 - Fairfax,R02F - Herndon,008,"20171, 22033",2244,1461
1569620,601 - East Lebanon,Russell,R13 - Southwest,R13B - Galax,044,"24280, 24266, 24639, 24283, 24260",1539,119
1569625,204 Woodland Hills,Washington,R13 - Southwest,R13B - Galax,044,"24210, 24374",1733,219
1569636,062 - Fentress,Chesapeake (City),R09 - Suffolk,R09A - Chesapeake,090,23322,2848,767
1594349,219 - Galilee Church,Loudoun,R03 - Loudoun,R03H - Sterling,028,"22101, 20190, 20165",2775,1552
1594355,819 - West Broad Run,Loudoun,R03 - Loudoun,R03A - Ashburn,028,20147,2291,1158
1815726,518 - Midlothian North,Chesterfield,R07 - South Richmond,R07H - West,072,"23113, 23112",4371,1880
1824848,412 - Catharpin,Prince William,R03 - Loudoun,R03B - HD 21,021,"20169, 20155, 20143, 20109, 22180",2489,923
1824849,413 - Reagan,Prince William,R03 - Loudoun,R03B - HD 21,021,"20155, 20169, 20175, 20137",3737,1710
1854605,306 - Crossroads,Rockingham,R12 - Shenandoah,R12A - Harrisonburg,034,"22846, 22801, 22841, 24503",3183,870
1888870,104- Berkeley D,James City,R11 - Southside,R11C - HD 71,071,23185,1439,647
1949965,099 - Precinct 99,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10I - South,096,"23504, 23456, 23464",2015,1082
1991017,415 - Four Hundred Fifteen,Richmond (City),R07 - South Richmond,R07H - West,078,"23235, 23234",2145,1482
1992184,309 - Olympus Condo,Alexandria (City),R01 - Inner Nova,R01I - Westend Alexandria,004,"22304, 22191",2813,2389
2228440,306 - Four Seasons,Prince William,R04 - Prince William,R04B - Dumfries,024,22025,3128,1788
2257686,101 - Green Springs #1,Louisa,R05 - Fredericksburg,R05D - SW,055,"24236, 23093, 22902, 22974, 22942, 22903, 22947",3623,1324
2257714,150 - Precinct 150,Arlington,R01 - Inner Nova,R01F - Crystal City,002,"20598, 22307, 22202",4187,3127
2257727,405 - Hope,Stafford,R04 - Prince William,R04E - HD 64,064,22554,4635,2045
2257750,131 - Precinct 131,Arlington,R01 - Inner Nova,R01G - Lee Heights,001,"22207, 22205",3105,2607
2274008,107 - Fort Lewis,Roanoke,R12 - Shenandoah,R12C - South Roanoke,040,24153,1530,376
2274020,305 - East Hidden Valley,Roanoke,R12 - Shenandoah,R12C - South Roanoke,040,24018,2111,680
2274029,216 - Two Hundred Sixteen,Richmond (City),R06 - North Richmond,R06A - Downtown,078,23220,753,637
2274036,302 - Botha,Fauquier,R03 - Loudoun,R03F - Misc,061,"22405, 22734, 20186, 22712, 22742",3339,983
2302155,426 - Hillsboro,Loudoun,R03 - Loudoun,R03C - HD 30,030,"20141, 20190, 20132, 20180",2888,1030
2302183,428 - Mountain View,Loudoun,R03 - Loudoun,R03C - HD 30,030,"20176, 20132, 22042, 20175, 22003, 20158",4202,1832
295354,101 - Woodbrook,Albemarle,R14 - Charlottesville,R14B - NE Charlottesville,054,22901,3144,2071
295383,603 - Earlysville,Albemarle,R14 - Charlottesville,R14E - UV,055,"22936, 22911, 22968, 22935, 22923",3476,1692
295494,602 - Ridgeview,Augusta,R12 - Shenandoah,R12D - Staunton,036,24477,2880,331
295536,102 - Ceres,Bland,R13 - Southwest,R13B - Galax,043,"24318, 24315",618,50
295616,602 - Concord,Campbell,R13 - Southwest,R13E - Lynchburg,051,"24538, 24504, 24501, 24521",3218,503
295641,402 - Woodlawn D,Carroll,R13 - Southwest,R13B - Galax,047,"24381, 24343, 24333",2352,193
295648,101 - Precinct 1-1,Charles City,R11 - Southside,R11B - Gloucester,081,"23030, 23231, 23851, 23140",2021,880
295677,207 - Chippenham,Chesterfield,R07 - South Richmond,R07E - North Chesterfield,076,"23832, 23234, 23225",5058,3591
295714,505 - Bon Air,Chesterfield,R07 - South Richmond,R07H - West,077,23235,3196,1774
295747,402 - Browns Store,Culpeper,R05 - Fredericksburg,R05E - West,062,"22701, 22740, 20137, 22735, 22713",3854,1248
295780,302 - New Hope,Dinwiddie,R11 - Southside,R11D - HD 82,082,"23805, 23831, 23225, 23803",1537,469
295793,105 - Fairview,Fairfax,R04 - Prince William,R04H - West Springfield,015,"22150, 22039, 22079, 22015",5104,3258
295799,113 - Canterbury,Fairfax,R02 - Fairfax,R02C - East Fairfax,014,"22032, 22003",3995,2592
