Current Region,voters,supporters,precinct_count
R01 - Inner Nova,312174,247153,94
R02 - Fairfax,610518,405513,202
R03 - Loudoun,468099,240036,165
R04 - Prince William,553715,336016,176
R05 - Fredericksburg,395992,149175,154
R06 - North Richmond,462927,266194,176
R07 - South Richmond,311162,182003,101
R08 - Newport News,286276,170606,88
R09 - Suffolk,378726,187982,158
R10 - Virginia Beach / Norfolk,519226,267624,180
R11 - Southside,320822,127019,172
R12 - Shenandoah,594980,173569,263
R13 - Southwest,802491,172435,482
R14 - Charlottesville,270877,128023,124
