Current Region,Current Turf,voters,supporters,precinct_count
R01 - Inner Nova,R01A - Alexandria,39070,30430,11
R01 - Inner Nova,R01B - Arlington,53558,42616,15
R01 - Inner Nova,R01D - Barcroft,29637,24789,9
R01 - Inner Nova,R01E - Clarendon,26563,21087,8
R01 - Inner Nova,R01F - Crystal City,37082,29009,11
R01 - Inner Nova,R01G - Lee Heights,38804,31244,12
R01 - Inner Nova,R01H - Shirlington,31482,25530,10
R01 - Inner Nova,R01I - Westend Alexandria,55978,42448,18
R02 - Fairfax,R02A - Annandale,77722,56382,28
R02 - Fairfax,R02B - Centreville,74438,45812,21
R02 - Fairfax,R02C - East Fairfax,85309,56540,31
R02 - Fairfax,R02D - Fair Oaks,96224,62934,31
R02 - Fairfax,R02E - Falls Church,15631,12317,5
R02 - Fairfax,R02F - Herndon,50266,34259,14
R02 - Fairfax,R02G - McLean,56987,39032,18
R02 - Fairfax,R02H - Reston,64402,40879,19
R02 - Fairfax,R02I - Vienna,88079,56826,34
R02 - Fairfax,R03C - HD 30,1460,532,1
R03 - Loudoun,R03A - Ashburn,50951,28458,16
R03 - Loudoun,R03B - HD 21,62938,33300,18
R03 - Loudoun,R03C - HD 30,69112,28647,27
R03 - Loudoun,R03D - Leesburg,63920,34413,22
R03 - Loudoun,R03E - Manassas,56500,34785,20
R03 - Loudoun,R03F - Misc,55030,17361,26
R03 - Loudoun,R03G - South Riding,58339,33566,18
R03 - Loudoun,R03H - Sterling,45219,26481,16
R03 - Loudoun,R04D - HD 22,6090,3025,2
R04 - Prince William,R04A - Dale City,54000,35428,18
R04 - Prince William,R04B - Dumfries,65476,41909,24
R04 - Prince William,R04C - Groveton,66382,46853,24
R04 - Prince William,R04D - HD 22,57554,27224,16
R04 - Prince William,R04E - HD 64,66410,28551,19
R04 - Prince William,R04F - Lake Ridge,63697,38733,20
R04 - Prince William,R04G - Spring Hill,50116,34030,15
R04 - Prince William,R04H - West Springfield,69413,44141,22
R04 - Prince William,R04I - Woodbridge,53981,35812,16
