Current Region,Current Turf,voters,supporters,precinct_count
R01 - Inner Nova,R01A - Alexandria,43160,33487,12
R01 - Inner Nova,R01B - Arlington,30026,23488,7
R01 - Inner Nova,R01C - Placeholder1,23532,19128,8
R01 - Inner Nova,R01D - Barcroft,29637,24789,9
R01 - Inner Nova,R01E - Clarendon,26563,21087,8
R01 - Inner Nova,R01F - Crystal City,37082,29009,11
R01 - Inner Nova,R01G - Lee Heights,38804,31244,12
R01 - Inner Nova,R01H - Shirlington,31482,25530,10
R01 - Inner Nova,R01I - Westend Alexandria,33825,27712,9
R02 - Fairfax,R02A - Annandale,77722,56382,28
R02 - Fairfax,R02B - Centreville,74645,45916,22
R02 - Fairfax,R02C - East Fairfax,85309,56540,31
R02 - Fairfax,R02D - Fair Oaks,96224,62934,31
R02 - Fairfax,R02E - Falls Church,15631,12317,5
R02 - Fairfax,R02F - Herndon,50266,34259,14
R02 - Fairfax,R02G - McLean,56987,39032,18
R02 - Fairfax,R02H - Reston,64402,40879,19
R02 - Fairfax,R02I - Vienna,63363,42252,23
R03 - Loudoun,R03A - Ashburn,53648,29962,17
R03 - Loudoun,R03B - HD 21,59131,30721,17
R03 - Loudoun,R03C - HD 30,70572,29179,28
R03 - Loudoun,R03D - Leesburg,67239,36226,24
R03 - Loudoun,R03E - Manassas,47078,28264,14
R03 - Loudoun,R03F - Misc,55030,17361,26
R03 - Loudoun,R03G - South Riding,65098,37614,21
R03 - Loudoun,R03H - Sterling,57160,33690,21
R04 - Prince William,R04A - Dale City,57439,37630,19
R04 - Prince William,R04B - Dumfries,70770,45739,27
R04 - Prince William,R04C - Groveton,53909,38280,18
R04 - Prince William,R04D - HD 22,63644,30249,18
R04 - Prince William,R04E - HD 64,66410,28551,19
R04 - Prince William,R04F - Lake Ridge,76233,46828,28
R04 - Prince William,R04G - Spring Hill,53910,36847,16
R04 - Prince William,R04H - West Springfield,82193,52297,27
R04 - Prince William,R04I - Woodbridge,59696,39960,18
R05 - Fredericksburg,R05A - East,100765,28438,57
R05 - Fredericksburg,R05B - HD 65,66604,32853,18
R05 - Fredericksburg,R05C - HD 66,68719,28440,22
R05 - Fredericksburg,R05D - SW,80481,27037,27
R05 - Fredericksburg,R05E - West,108842,35955,54
R06 - North Richmond,R06A - Downtown,33733,28697,14
R06 - North Richmond,R06B - HD 57,66192,33660,20
R06 - North Richmond,R06C - Highland Park,60100,49286,26
R06 - North Richmond,R06D - Mechanicsville,76543,30286,32
R06 - North Richmond,R06E - North,41870,13421,18
R06 - North Richmond,R06G - West,68190,39127,24
R06 - North Richmond,R06H - Westhampton,38238,24877,18
R07 - South Richmond,R07A - East,49544,34008,19
R07 - South Richmond,R07B - HD 73,75575,32267,19
R07 - South Richmond,R07C - HD 75,56983,27989,17
R07 - South Richmond,R07D - Placeholder2,30089,25868,12
R07 - South Richmond,R07E - North Chesterfield,54297,33862,20
R07 - South Richmond,R07F - Placeholder3,45713,22444,12
R07 - South Richmond,R07G - South Garden,27232,23642,12
R07 - South Richmond,R07H - West,54483,31273,18
R08 - Newport News,R08A - Hampton,36640,28837,11
R08 - Newport News,R08B - HD 69,60067,25276,16
R08 - Newport News,R08C - HD 86,60097,28286,18
R08 - Newport News,R08D - Newport News,39021,30495,17
R08 - Newport News,R08E - Nicewood,60149,38796,16
R08 - Newport News,R08F - Port Warwick,47828,29638,15
R09 - Suffolk,R09A - Chesapeake,79284,28652,26
R09 - Suffolk,R09B - HD 84,76377,41894,35
R09 - Suffolk,R09C - HD 89,61535,25960,24
R09 - Suffolk,R09D - Misc,36404,12029,21
R09 - Suffolk,R09E - Portsmouth,76847,51897,34
R09 - Suffolk,R09F - South,73769,42657,27
R10 - Virginia Beach / Norfolk,R10A - Virginia Beach,97365,37855,29
R10 - Virginia Beach / Norfolk,R10C - HD 97,63504,30211,20
R10 - Virginia Beach / Norfolk,R10D - Norfolk,58434,41433,20
R10 - Virginia Beach / Norfolk,R10E - Norfolk Central,115359,80698,27
R10 - Virginia Beach / Norfolk,R10F - North,35650,14545,21
R10 - Virginia Beach / Norfolk,R10G - North Norfolk,53340,26173,18
R10 - Virginia Beach / Norfolk,R10I - South,75062,34829,25
R10 - Virginia Beach / Norfolk,R10J - West Norfolk,68319,35227,24
R11 - Southside,R11A - Emporia,61353,27183,73
R11 - Southside,R11B - Gloucester,73009,17084,32
R11 - Southside,R11C - HD 71,70109,29775,21
R11 - Southside,R11D - HD 82,67527,35672,32
R11 - Southside,R11E - Colonial Heights / Chesterfield,46648,18310,14
R12 - Shenandoah,R12A - Harrisonburg,137577,32129,56
R12 - Shenandoah,R12B - North Roanoke,113797,35841,56
R12 - Shenandoah,R12C - South Roanoke,73222,30119,27
R12 - Shenandoah,R12D - Staunton,123839,29640,69
R12 - Shenandoah,R12E - Winchester,135318,38642,53
R13 - Southwest,R13A -  Greater CD9,202040,44211,128
R13 - Southwest,R13B - Galax,301434,28002,241
R13 - Southwest,R13C - The Hollers,100165,36584,65
R13 - Southwest,R13D - HD41,56127,22114,27
R13 - Southwest,R13E - Lynchburg,188575,46690,77
R14 - Charlottesville,R14A - Central,70160,20200,43
R14 - Charlottesville,R14B - NE Charlottesville,44963,32549,14
R14 - Charlottesville,R14C - S Charlottesville,53403,28018,16
R14 - Charlottesville,R14D - South,92747,25056,51
R14 - Charlottesville,R14E - UV,45696,30110,14
